class,path,width,height
12,English/Img/GoodImg/Bmp/Sample013/img013-00163.png,120,318
31,English/Img/GoodImg/Bmp/Sample032/img032-00030.png,27,48
14,English/Img/GoodImg/Bmp/Sample015/img015-00173.png,42,87
14,English/Img/GoodImg/Bmp/Sample015/img015-00378.png,79,133
23,English/Img/GoodImg/Bmp/Sample024/img024-00003.png,100,244
6,English/Img/GoodImg/Bmp/Sample007/img007-00057.png,37,42
14,English/Img/GoodImg/Bmp/Sample015/img015-00322.png,35,47
17,English/Img/GoodImg/Bmp/Sample018/img018-00089.png,57,67
55,English/Img/GoodImg/Bmp/Sample056/img056-00102.png,10,25
27,English/Img/GoodImg/Bmp/Sample028/img028-00110.png,121,144
14,English/Img/GoodImg/Bmp/Sample015/img015-00368.png,72,96
12,English/Img/GoodImg/Bmp/Sample013/img013-00116.png,100,193
27,English/Img/GoodImg/Bmp/Sample028/img028-00371.png,21,27
30,English/Img/GoodImg/Bmp/Sample031/img031-00006.png,59,50
35,English/Img/GoodImg/Bmp/Sample036/img036-00047.png,162,93
44,English/Img/GoodImg/Bmp/Sample045/img045-00014.png,80,271
10,English/Img/GoodImg/Bmp/Sample011/img011-00230.png,45,122
21,English/Img/GoodImg/Bmp/Sample022/img022-00011.png,103,142
20,English/Img/GoodImg/Bmp/Sample021/img021-00019.png,55,46
28,English/Img/GoodImg/Bmp/Sample029/img029-00138.png,76,154
13,English/Img/GoodImg/Bmp/Sample014/img014-00167.png,26,26
25,English/Img/GoodImg/Bmp/Sample026/img026-00034.png,193,197
28,English/Img/GoodImg/Bmp/Sample029/img029-00294.png,52,63
24,English/Img/GoodImg/Bmp/Sample025/img025-00340.png,26,42
29,English/Img/GoodImg/Bmp/Sample030/img030-00147.png,129,167
10,English/Img/GoodImg/Bmp/Sample011/img011-00133.png,22,28
39,English/Img/GoodImg/Bmp/Sample040/img040-00025.png,12,22
49,English/Img/GoodImg/Bmp/Sample050/img050-00091.png,55,94
61,English/Img/GoodImg/Bmp/Sample062/img062-00001.png,131,173
50,English/Img/GoodImg/Bmp/Sample051/img051-00104.png,86,107
21,English/Img/GoodImg/Bmp/Sample022/img022-00141.png,16,26
27,English/Img/GoodImg/Bmp/Sample028/img028-00146.png,55,71
55,English/Img/GoodImg/Bmp/Sample056/img056-00086.png,32,58
18,English/Img/GoodImg/Bmp/Sample019/img019-00037.png,25,37
52,English/Img/GoodImg/Bmp/Sample053/img053-00041.png,45,112
55,English/Img/GoodImg/Bmp/Sample056/img056-00011.png,71,104
1,English/Img/GoodImg/Bmp/Sample002/img002-00031.png,25,64
24,English/Img/GoodImg/Bmp/Sample025/img025-00287.png,49,62
31,English/Img/GoodImg/Bmp/Sample032/img032-00020.png,134,145
28,English/Img/GoodImg/Bmp/Sample029/img029-00302.png,32,51
14,English/Img/GoodImg/Bmp/Sample015/img015-00024.png,87,63
49,English/Img/GoodImg/Bmp/Sample050/img050-00095.png,25,30
17,English/Img/GoodImg/Bmp/Sample018/img018-00065.png,24,34
13,English/Img/GoodImg/Bmp/Sample014/img014-00007.png,149,165
13,English/Img/GoodImg/Bmp/Sample014/img014-00170.png,16,29
12,English/Img/GoodImg/Bmp/Sample013/img013-00047.png,93,180
14,English/Img/GoodImg/Bmp/Sample015/img015-00319.png,22,37
42,English/Img/GoodImg/Bmp/Sample043/img043-00034.png,65,130
23,English/Img/GoodImg/Bmp/Sample024/img024-00213.png,92,125
53,English/Img/GoodImg/Bmp/Sample054/img054-00042.png,12,16
12,English/Img/GoodImg/Bmp/Sample013/img013-00200.png,32,44
58,English/Img/GoodImg/Bmp/Sample059/img059-00006.png,348,223
10,English/Img/GoodImg/Bmp/Sample011/img011-00196.png,30,51
16,English/Img/GoodImg/Bmp/Sample017/img017-00087.png,144,191
28,English/Img/GoodImg/Bmp/Sample029/img029-00300.png,83,101
40,English/Img/GoodImg/Bmp/Sample041/img041-00197.png,54,74
10,English/Img/GoodImg/Bmp/Sample011/img011-00087.png,40,46
29,English/Img/GoodImg/Bmp/Sample030/img030-00073.png,18,19
10,English/Img/GoodImg/Bmp/Sample011/img011-00057.png,57,40
13,English/Img/GoodImg/Bmp/Sample014/img014-00155.png,17,21
14,English/Img/GoodImg/Bmp/Sample015/img015-00274.png,61,91
40,English/Img/GoodImg/Bmp/Sample041/img041-00048.png,95,93
40,English/Img/GoodImg/Bmp/Sample041/img041-00113.png,34,22
26,English/Img/GoodImg/Bmp/Sample027/img027-00018.png,106,104
28,English/Img/GoodImg/Bmp/Sample029/img029-00271.png,48,58
27,English/Img/GoodImg/Bmp/Sample028/img028-00289.png,154,334
18,English/Img/GoodImg/Bmp/Sample019/img019-00012.png,78,179
52,English/Img/GoodImg/Bmp/Sample053/img053-00046.png,13,42
29,English/Img/GoodImg/Bmp/Sample030/img030-00047.png,71,84
27,English/Img/GoodImg/Bmp/Sample028/img028-00209.png,54,66
4,English/Img/GoodImg/Bmp/Sample005/img005-00028.png,62,82
31,English/Img/GoodImg/Bmp/Sample032/img032-00079.png,17,31
7,English/Img/GoodImg/Bmp/Sample008/img008-00035.png,49,81
10,English/Img/GoodImg/Bmp/Sample011/img011-00391.png,25,32
18,English/Img/GoodImg/Bmp/Sample019/img019-00020.png,21,53
24,English/Img/GoodImg/Bmp/Sample025/img025-00362.png,34,59
40,English/Img/GoodImg/Bmp/Sample041/img041-00177.png,88,109
10,English/Img/GoodImg/Bmp/Sample011/img011-00212.png,74,134
3,English/Img/GoodImg/Bmp/Sample004/img004-00008.png,60,106
4,English/Img/GoodImg/Bmp/Sample005/img005-00035.png,22,36
10,English/Img/GoodImg/Bmp/Sample011/img011-00304.png,42,54
24,English/Img/GoodImg/Bmp/Sample025/img025-00332.png,30,60
3,English/Img/GoodImg/Bmp/Sample004/img004-00034.png,50,88
54,English/Img/GoodImg/Bmp/Sample055/img055-00079.png,27,40
13,English/Img/GoodImg/Bmp/Sample014/img014-00082.png,46,109
13,English/Img/GoodImg/Bmp/Sample014/img014-00163.png,90,62
29,English/Img/GoodImg/Bmp/Sample030/img030-00254.png,30,46
28,English/Img/GoodImg/Bmp/Sample029/img029-00205.png,73,102
14,English/Img/GoodImg/Bmp/Sample015/img015-00005.png,33,49
2,English/Img/GoodImg/Bmp/Sample003/img003-00061.png,37,54
18,English/Img/GoodImg/Bmp/Sample019/img019-00065.png,32,123
55,English/Img/GoodImg/Bmp/Sample056/img056-00035.png,39,125
29,English/Img/GoodImg/Bmp/Sample030/img030-00035.png,56,57
22,English/Img/GoodImg/Bmp/Sample023/img023-00133.png,116,119
24,English/Img/GoodImg/Bmp/Sample025/img025-00072.png,60,83
13,English/Img/GoodImg/Bmp/Sample014/img014-00101.png,69,83
23,English/Img/GoodImg/Bmp/Sample024/img024-00163.png,63,100
14,English/Img/GoodImg/Bmp/Sample015/img015-00064.png,69,79
29,English/Img/GoodImg/Bmp/Sample030/img030-00045.png,33,43
23,English/Img/GoodImg/Bmp/Sample024/img024-00223.png,185,199
25,English/Img/GoodImg/Bmp/Sample026/img026-00064.png,90,143
